brand,model,alias,battery_type,part_numbers,wh,cells,confidence,source_url,notes,image,image_source,image_note,charger_watts,charger_connector,charger_output,charger_part_numbers,charger_confidence,charger_source_url,charger_notes,ram_upgradable,ram_type,ram_slots,ram_max,ram_confidence,ram_source_url,ram_notes,storage_upgradable,storage_slots,storage_type,wifi_upgradable,wifi_type,wwan,wwan_notes,gpu,gpu_upgradable,parts_confidence,parts_source_url,parts_notes,replaceable_parts,keyboard,screen,charge_port,fan,service_manual_url,repair_confidence,repair_notes,replaceable_part_numbers,pn_confidence,pn_source_url,pn_notes
Acer,Aspire 3 A315-59 (15.6-inch),Aspire A315-59,AP19B8K,AP19B8K; AP19B5K,43,3,medium,https://www.cdrtd.com/products/laptop-ap19b8k-battery-for-acer-aspire-a315-59-aspire-a315-59-59g-a315-59-55yk-a315-59-71nf-a315-59-598k-35c7-55vy-11-25v-3831mah-43-08wh.html,11.25 V 3831 mAh 43.08 Wh 3-cell Li-ion. AP19B8K and AP19B5K are equivalent supplier variants of the same pack; either may be fitted. Some Acer spec sheets quote 40 Wh.,img/acer-ap19b8k.jpg,https://www.laptopbatteryexpress.com/Acer-AP19B8K-Battery-for-Swift-3-SF314-p/ace-ap19b8k.htm,,45,Acer 3.0mm barrel,19V 2.37A,KP.04501.017; ADP-45HE B; PA-1450-26,medium,https://www.lps-gopower.org/acer-aspire-3-a315-59-a315-59g-charger-original-45w-ac-adapter-117942.htm,3.0 x 1.1 mm tip. Some regions ship the Acer 65W (19V 3.42A) adapter with the same tip.,yes,DDR4-3200 SO-DIMM,2,32 GB,medium,https://laptopmedia.com/highlights/how-to-open-acer-aspire-3-a315-59-disassembly-and-upgrade-options/,"LaptopMedia teardown and the Acer spec for A315-59-598K show two SO-DIMM slots (up to 32 GB). Some SKUs are listed by memory sellers with 8 GB soldered plus one slot (24 GB or 40 GB max), so check the exact SKU. Could not load Acer's own spec page to confirm.",yes,2,"2x M.2 2280 PCIe NVMe (one Gen 4, one Gen 3)",yes,"M.2 2230 card: Intel AX201 (CNVi) on Wi-Fi 6 SKUs, Realtek Wi-Fi 5 on some SKUs",no,,Integrated Intel UHD or Iris Xe; NVIDIA GeForce MX550 on A315-59G,no,medium,https://laptopmedia.com/highlights/how-to-open-acer-aspire-3-a315-59-disassembly-and-upgrade-options/,Storage from the LaptopMedia teardown. Stock Wi-Fi card varies by SKU; an AX201 card only works in a CNVi slot.,Bottom cover; Battery; RAM; SSD; Wi-Fi card; Coin-cell battery; Fan; Heatsink; Speakers; Touchpad; Palmrest/top cover; Display assembly; Display panel; Display bezel; Camera; Hinges; DC-in / charge port; I/O board; Power button; System board,unknown,unknown,unknown,unknown,https://laptopmedia.com/highlights/how-to-open-acer-aspire-3-a315-59-disassembly-and-upgrade-options/,low,No public Acer service guide for A315-59; parts are from teardowns and the usual Aspire 3 FRU layout. Keyboard is riveted to the top cover. DC-in jack is on a cable. Some SKUs have soldered RAM plus one slot. No Acer service guide found; the repair flags are not confirmed.,"Display panel: KL.1560E.033, KL.15605.072 | Hinges: 33.K6WN2.003, 33.K6WN2.002 | Touchpad: 56.K6WN2.001 | Palmrest/top cover: 6B.K6SN2.001",medium,https://geniusparts.co.uk/collections/acer/a315-59,"Parts seller listings. Palmrest/top cover: silver, US International keyboard. Hinges: first is the pair, second is the left hinge. Battery: two listed compatible Acer battery numbers."
Apple,"MacBook Pro (13-inch, 2019, Four Thunderbolt 3 ports)",Apple iMac with T2,A1964,A1964,58,6,medium,https://www.ifixit.com/products/macbook-pro-13-retina-mid-a1989-a2251-battery,Body A1989. 11.41 V 5086 mAh 58.0 Wh. iFixit 2018 teardown confirms six cells.,img/apple-a1964.jpg,https://www.ifixit.com/en-eu/products/macbook-pro-13-retina-mid-a1989-a2251-battery,,61,USB-C,20.3V 3A / 9V 3A / 5.2V 2.4A (USB-C PD),A1718 / MRW22; MNF72,high,https://support.apple.com/en-us/111997,Apple tech specs list the 61W USB-C Power Adapter. Ships with a 2 m USB-C charge cable (MLL82).,no,LPDDR3-2133 (soldered),0,16 GB,high,https://support.apple.com/en-us/111997,"Input model is the 13-inch 2019 MacBook Pro with four Thunderbolt 3 ports (alias mentions iMac, likely a mislabel).",no,0,Soldered SSD,no,Soldered 802.11ac Wi-Fi (Broadcom),no,,Integrated Intel Iris Plus Graphics 655,no,high,https://support.apple.com/en-us/111997,Storage is soldered to the logic board and tied to the T2 chip.,Bottom cover; Battery; Fan; Heatsink; Speakers; Touchpad; Palmrest/top cover; Display assembly; USB-C port board; Audio/headphone board; Touch Bar; Touch ID board; Antennas; System board,palmrest,assembly,separate,separate,https://www.ifixit.com/Device/MacBook_Pro_13%22_Four_Thunderbolt_Ports_2019,medium,"Battery is glued to the top case; Apple replaces it with the top case, iFixit sells it alone. Keyboard only comes with the top case. RAM, SSD and Wi-Fi are soldered. USB-C ports are on small modular boards.","Bottom cover: 923-02514, 923-02515 | Battery: A1964 | Fan: 923-02580, 923-02581 | Palmrest/top cover: 661-13159, 661-13160 | Display assembly: 661-12829, 661-12830 | USB-C port board: 923-02497 | System board: 661-12813, 661-12818, 661-12826, 661-12827",medium,https://beetstech.com/store/apple-parts/macbook-pro-13-inch-a1989-mid-2019,"Parts seller listing with Apple part numbers. Colour pairs are space gray then silver. Top case includes keyboard and battery; battery is only sold in the top case, so the battery field is the Apple model number. System board: 4 of many CPU/RAM/SSD variants. Fans: left, right."
Apple,"MacBook Pro (13-inch, 2020, Four Thunderbolt 3 ports)","Apple MacBook Pro 13-inch 2020 (A2251) | Apple T2 MacBookPro16,2 | MacBookPro16,2",A1964,A1964,58,6,medium,https://www.ifixit.com/products/macbook-pro-13-retina-mid-a1989-a2251-battery,Body A2251. iFixit and battery shops list A1964 (58 Wh 11.41 V) as the battery for A2251. Some sources quote the 2020 sticker as A2327; no page confirmed this. Cell count from the 2018 A1989 teardown (same pack).,img/apple-a1964.jpg,https://www.ifixit.com/en-eu/products/macbook-pro-13-retina-mid-a1989-a2251-battery,,61,USB-C,20.3V 3A / 9V 3A / 5.2V 2.4A (USB-C PD),A2166 / MRW22; A1718 / MNF72,high,https://support.apple.com/en-us/111339,Apple tech specs list 61W USB-C Power Adapter. A2166 is the 2019+ revision; A1718 is the earlier 61W adapter. Ships with USB-C Charge Cable (2 m).,no,LPDDR4X-3733 (soldered),0,32 GB,high,https://support.apple.com/en-us/111339,,no,0,Soldered SSD,no,Soldered 802.11ac Wi-Fi (Broadcom),no,,Integrated Intel Iris Plus Graphics,no,high,https://support.apple.com/en-us/111339,Storage is soldered to the logic board and tied to the T2 chip.,Bottom cover; Battery; Fan; Heatsink; Speakers; Touchpad; Palmrest/top cover; Display assembly; USB-C port board; Audio/headphone board; Touch Bar; Touch ID board; Antennas; System board,palmrest,assembly,separate,separate,https://www.ifixit.com/Parts/MacBook_Pro_13%22_Four_Thunderbolt_Ports_2020,medium,"Battery is glued to the top case; Apple replaces it with the top case, iFixit sells it alone. Keyboard only comes with the top case. RAM, SSD and Wi-Fi are soldered. USB-C ports are on small modular boards.","Bottom cover: 923-04157, 923-04158 | Battery: A1964 | Fan: 923-04237, 923-04238 | Touchpad: 661-16096, 661-16097 | Palmrest/top cover: 661-15956, 661-15957 | Display assembly: 661-15732, 661-15733 | USB-C port board: 923-04254 | Audio/headphone board: 923-04235, 923-04236 | System board: 661-15938, 661-15939, 661-15942",medium,https://beetstech.com/store/apple-parts/macbook-pro-13-inch-a2251-2020,"Parts seller listing with Apple part numbers. Colour pairs are space gray then silver. Top case includes keyboard and battery; battery is only sold in the top case, so the battery field is the Apple model number. System board: 3 of many variants. Fans: left, right."
Apple,"MacBook Air (Retina, 13-inch, 2020)","Apple T2 MacBookAir9,1",A1965,A1965,49.9,4,medium,https://www.ifixit.com/products/macbook-air-13-late-2018-early-2020-battery,"Body A2179. 11.4 V 4379 mAh 49.9 Wh. Cell count from teardown photos, not confirmed by a source.",img/apple-a1965.jpg,https://www.ifixit.com/products/macbook-air-13-late-2018-early-2020-battery,,30,USB-C,5-20V up to 3A (20V 1.5A),A2164 / MY1W2; A1882 / MR2A2,high,https://support.apple.com/en-us/111991,Apple tech specs list a 30W USB-C Power Adapter with USB-C Charge Cable. Applies to both the Intel (early 2020) and the M1 (late 2020) 13-inch Air.,no,LPDDR4X-3733 (soldered),0,16 GB,high,https://support.apple.com/en-us/111991,,no,0,Soldered SSD,no,Soldered 802.11ac Wi-Fi (Broadcom),no,,Integrated Intel Iris Plus Graphics,no,high,https://support.apple.com/en-us/111991,Storage is soldered to the logic board and tied to the T2 chip.,Bottom cover; Battery; Fan; Heatsink; Speakers; Touchpad; Palmrest/top cover; Display assembly; USB-C port board; Audio/headphone board; Touch ID board; Antennas; System board,palmrest,assembly,separate,separate,https://www.ifixit.com/Device/MacBook_Air_13%22_2020,medium,"Keyboard only comes with the top case. Battery is glued but sold alone. RAM, SSD and Wi-Fi are soldered. USB-C ports are a modular part.","Bottom cover: 923-03980, 923-03981, 923-03982 | Battery: 661-15395, 923-03990 | Fan: 923-03989 | Speakers: 923-03988 | Touchpad: 661-15392, 661-15393, 661-15394 | Palmrest/top cover: 661-15386, 661-15387, 661-15388 | Display assembly: 661-15389, 661-15390, 661-15391 | USB-C port board: 923-02813 | Audio/headphone board: 923-03986, 923-03987 | System board: 661-14741, 661-14746, 661-14756, 661-14757",medium,https://beetstech.com/store/apple-parts/macbook-air-13-inch-a2179-2020,"Parts seller listing with Apple part numbers. Colour sets are space gray, silver, gold (audio board: space gray/gold, then silver). System board: 4 of many variants."
Apple,"MacBook Pro (13-inch, 2019, Two Thunderbolt 3 ports)","Apple T2 MacBookPro15,4",A2171,A2171,58.2,6,medium,https://www.ifixit.com/products/macbook-pro-13-retina-mid-2019-battery,Body A2159. 11.41 V 58.2 Wh. Cell count not confirmed by a source.,img/apple-a2171.jpg,https://www.laptopbatteryexpress.com/MacBook-Pro-13-2019-A2159-Battery-p/app-a2171.htm,,61,USB-C,5-20.3V up to 3A (20.3V 3A),A1947 / MRW22,high,https://support.apple.com/en-us/111945,Box: 61W USB-C Power Adapter + USB-C Charge Cable (2 m). Part number from own knowledge.,no,LPDDR3-2133 (soldered),0,16 GB,high,https://support.apple.com/en-us/111945,,no,0,Soldered SSD,no,Soldered 802.11ac Wi-Fi (Broadcom),no,,Integrated Intel Iris Plus Graphics 645,no,high,https://support.apple.com/en-us/111945,Storage is soldered to the logic board and tied to the T2 chip.,Bottom cover; Battery; Fan; Heatsink; Speakers; Touchpad; Palmrest/top cover; Display assembly; USB-C port board; Touch Bar; Touch ID board; Antennas; System board,palmrest,assembly,separate,separate,https://www.ifixit.com/Device/MacBook_Pro_13%22_Two_Thunderbolt_Ports_2019,medium,"Single fan. Battery is glued to the top case; iFixit sells it alone. Keyboard only comes with the top case. RAM, SSD and Wi-Fi are soldered. USB-C ports are on a small modular board.","Bottom cover: 923-03204, 923-03205 | Battery: A2171 | Fan: 923-03523 | Palmrest/top cover: 661-12993, 661-12994, 661-13618, 661-13619 | Display assembly: 661-12829, 661-12830 | USB-C port board: 923-03210 | System board: 661-12566, 661-12567, 661-12568, 661-12571",medium,https://beetstech.com/store/apple-parts/macbook-pro-13-inch-a2159-2019,Parts seller listing with Apple part numbers. Colour pairs are space gray then silver. Top case includes keyboard and battery; battery field is the Apple model number. System board: 4 of many variants.
Apple,"MacBook Pro (13-inch, 2020, Two Thunderbolt 3 ports)","Apple T2 MacBookPro16,3",A2171,A2171,58.2,6,medium,https://www.ifixit.com/products/macbook-pro-13-retina-mid-2019-battery,Body A2289. Same A2171 pack as A2159 and A2338. Cell count not confirmed by a source.,img/apple-a2171.jpg,https://www.laptopbatteryexpress.com/MacBook-Pro-13-2019-A2159-Battery-p/app-a2171.htm,,61,USB-C,20.3V 3A / 9V 3A / 5.2V 2.4A (USB-C PD),A1718 / MNF72LL/A; A1947 / MRW22LL/A,high,https://support.apple.com/en-us/111981,Apple tech specs list a 61W USB-C Power Adapter; ships with a 2 m USB-C charge cable (A1739 / MUF72),no,LPDDR3-2133 (soldered),0,16 GB,high,https://support.apple.com/en-us/111981,,no,0,Soldered SSD,no,Soldered 802.11ac Wi-Fi (Broadcom),no,,Integrated Intel Iris Plus Graphics 645,no,high,https://support.apple.com/en-us/111981,Storage is soldered to the logic board and tied to the T2 chip.,Bottom cover; Battery; Fan; Heatsink; Speakers; Touchpad; Palmrest/top cover; Display assembly; USB-C port board; Touch Bar; Touch ID board; Antennas; System board,palmrest,assembly,separate,separate,https://www.ifixit.com/Device/MacBook_Pro_13%22_Two_Thunderbolt_Ports_2020,medium,"Single fan. Battery is glued to the top case; iFixit sells it alone. Keyboard only comes with the top case. RAM, SSD and Wi-Fi are soldered. USB-C ports are on a small modular board.","Bottom cover: 923-04011, 923-04012 | Battery: A2171 | Fan: 923-04170 | Touchpad: 661-15992, 661-15993 | Palmrest/top cover: 661-15736, 661-15737 | Display assembly: 661-15732, 661-15733 | USB-C port board: 923-04165 | System board: 661-15734",medium,https://beetstech.com/store/apple-parts/macbook-pro-13-inch-a2289-2020,Parts seller listing with Apple part numbers. Colour pairs are space gray then silver. Top case includes keyboard and battery; battery field is the Apple model number. System board: 1 variant found.
Apple,"MacBook Air (M1, 2020)",,A2389,A2389,49.9,4,medium,https://www.ifixit.com/products/macbook-air-13-a2337-late-2020-battery,Body A2337. 11.39 V 4380 mAh 49.9 Wh. Cell count not confirmed (one seller says 3).,img/apple-a2389.jpg,https://www.ifixit.com/products/macbook-air-13-a2337-late-2020-battery,,30,USB-C,5-20.5V up to 3A (30W USB-C PD),A2164 / MY1W2; A1882 / MR2A2,high,https://support.apple.com/en-us/111883,30W USB-C Power Adapter in the box. USB-C to USB-C charge cable (2 m).,no,Unified memory (on package),0,16 GB,high,https://support.apple.com/en-us/111883,,no,0,Soldered SSD,no,Soldered Wi-Fi 6 (802.11ax),no,,Integrated Apple M1 7-core or 8-core GPU,no,high,https://support.apple.com/en-us/111883,,Bottom cover; Battery; Speakers; Touchpad; Palmrest/top cover; Display assembly; USB-C port board; Audio/headphone board; Touch ID board; Antennas; System board; Display cable,palmrest,assembly,separate,none,https://support.apple.com/en-us/100586,high,"Apple Self Service Repair manual. Fanless. Battery is its own part. Keyboard only comes with the top case. RAM, SSD and Wi-Fi are soldered. USB-C ports are on the Input/Output board.","Bottom cover: 923-04300, 923-04301, 923-04302, 923-04303, 923-04304, 923-04305 | Battery: 661-16086 | Speakers: 923-03678 | Touchpad: 661-16825, 661-16826, 661-16827 | Palmrest/top cover: 661-16831, 661-16833, 661-16835 | Display assembly: 661-16806, 661-16807, 661-16808 | USB-C port board: 923-03553 | Audio/headphone board: 923-03672, 923-03673 | Touch ID board: 661-15412 | Antennas: 923-04327 | System board: 661-16809, 661-16810, 661-16819, 661-16822 | Display cable: 923-04718",high,https://support.apple.com/en-us/100587,"Apple exploded view. Colours: space gray, silver, gold (bottom case: 7-core/8-core GPU per colour; audio board: space gray/gold, then silver). Top case numbers are US English. USB-C port board is the input/output board. System board: 4 of 16 variants (each also has a 661-275xx alternate)."
Apple,"MacBook Pro (16-inch, 2019)","MacBook Pro 16"" 2019",A2113,A2113,100,6,medium,https://www.ifixit.com/products/macbook-pro-16-2019-battery,Body A2141. Apple spec 100 Wh; iFixit pack rated 98.8 Wh 11.76 V 8790 mAh. Cell count not confirmed by a source.,img/apple-a2113.jpg,https://www.ifixit.com/products/macbook-pro-16-2019-battery,,96,USB-C,20.5V 4.7A / 15V 3A / 9V 3A / 5.2V 3A (USB-C PD),A2166 / MX0J2,high,https://support.apple.com/en-us/111932,Apple tech specs list the 96W USB-C Power Adapter. Ships with a 2 m USB-C charge cable (MLL82).,no,DDR4-2666 (soldered),0,64 GB,high,https://support.apple.com/en-us/111932,,no,0,Soldered SSD,no,Soldered 802.11ac Wi-Fi (Broadcom),no,,"AMD Radeon Pro 5300M, 5500M or 5600M (discrete) plus Intel UHD Graphics 630",no,high,https://support.apple.com/en-us/111932,Storage is soldered to the logic board and tied to the T2 chip.,Bottom cover; Battery; Fan; Heatsink; Speakers; Touchpad; Palmrest/top cover; Display assembly; USB-C port board; Audio/headphone board; Touch Bar; Touch ID board; Antennas; System board,palmrest,assembly,separate,separate,https://www.ifixit.com/Device/MacBook_Pro_16%22_2019,medium,"Two fans. Left and right USB-C boards are modular. Battery is glued to the top case; iFixit sells it alone. Keyboard only comes with the top case. RAM, SSD and Wi-Fi are soldered.","Bottom cover: 923-03844, 923-03845 | Battery: A2113 | Fan: 923-03874, 923-03875 | Palmrest/top cover: 661-13161, 661-13162 | Display assembly: 661-14200, 661-14201 | USB-C port board: 923-03934 | System board: 661-14104, 661-14114",medium,https://beetstech.com/store/apple-parts/macbook-pro-16-inch-a2141-2019,"Parts seller listing with Apple part numbers. Colour pairs are space gray then silver. Top case includes keyboard and battery; battery field is the Apple model number. Fans: left, right. System board: 2 of many variants."
Apple,"MacBook Pro (15-inch, 2018)","MacBook Pro 15"" 2018",A1953,A1953,83.6,6,medium,https://www.ifixit.com/products/macbook-pro-15-retina-mid-2018-2019-battery,Body A1990. 11.4 V 7336 mAh 83.6 Wh. Cell count not confirmed by a source.,img/apple-a1953.jpg,https://www.ifixit.com/products/macbook-pro-15-retina-mid-2018-2019-battery,,87,USB-C,20.2V 4.3A / 9V 3A / 5.2V 2.4A (USB-C PD),A1719 / MNF82,high,https://support.apple.com/en-us/111949,Apple tech specs list 87W USB-C Power Adapter. Ships with USB-C Charge Cable (2 m).,no,DDR4-2400 (soldered),0,32 GB,high,https://support.apple.com/en-us/111949,,no,0,Soldered SSD,no,Soldered 802.11ac Wi-Fi (Broadcom),no,,AMD Radeon Pro 555X or 560X (discrete; Vega 16/20 on later configs) plus Intel UHD Graphics 630,no,high,https://support.apple.com/en-us/111949,Storage is soldered to the logic board and tied to the T2 chip.,Bottom cover; Battery; Fan; Heatsink; Speakers; Touchpad; Palmrest/top cover; Display assembly; USB-C port board; Touch Bar; Touch ID board; Antennas; System board,palmrest,assembly,separate,separate,https://www.ifixit.com/Device/MacBook_Pro_15%22_2018,medium,"Two fans. USB-C ports are on small modular boards. Battery is glued to the top case; iFixit sells it alone. Keyboard only comes with the top case. RAM, SSD and Wi-Fi are soldered.","Bottom cover: 923-00485, 923-02510 | Battery: A1953 | Fan: 923-02538, 923-02539 | Palmrest/top cover: 661-10345, 661-10346, 661-10347, 661-10348 | Display assembly: 661-10355, 661-10356 | USB-C port board: 923-02497 | System board: 661-09989, 661-10009, 661-10013, 661-10202",medium,https://beetstech.com/store/apple-parts/macbook-pro-15-inch-a1990-mid-2018,Parts seller listing with Apple part numbers. Colour pairs are space gray then silver. Top case includes keyboard and battery; battery field is the Apple model number. System board: 4 of many 2018 variants.
Apple,"MacBook Pro (14-inch, 2023) with M2 Pro","MacBook Pro (14-inch, M2 Pro, 2023)",A2519,A2519,70,6,medium,https://www.ifixit.com/products/macbook-pro-14-a2442-a2779-a2918-battery,Body A2779. Apple spec 70 Wh; pack label 69.6 Wh 11.47 V 6068 mAh. Same A2519 pack as 14-inch 2021 (A2442) and 14-inch M3 (A2918). Cell count not confirmed by a source.,img/apple-a2519.jpg,https://www.laptopbatteryexpress.com/A2519-Battery-for-MacBook-Pro-14-2021-2023-A244-p/app-a2519.htm,,67,MagSafe 3,5-20.3V up to 3.3A (20.3V 3.3A),A2518 / MKU63; A2166 / MX0J2; A2363 / MLYV3,high,https://support.apple.com/en-us/111340,67W adapter ships with the M2 Pro 10-core CPU config. The 12-core M2 Pro and M2 Max configs ship with the 96W adapter (20.5V 4.7A). Charging is via the USB-C to MagSafe 3 cable; USB-C charging also works. Part number detail: A2166 / MX0J2: 96W; A2363 / MLYV3: USB-C to MagSafe 3 cable.,no,Unified memory (on package),0,32 GB,high,https://support.apple.com/en-us/111340,M2 Pro max is 32 GB; the M2 Max version of the same chassis goes to 96 GB.,no,0,Soldered SSD,no,Soldered Wi-Fi 6E (802.11ax),no,,Integrated Apple M2 Pro 16-core or 19-core GPU,no,high,https://support.apple.com/en-us/111340,,Bottom cover; Battery; Fan; Speakers; Touchpad; Palmrest/top cover; Display assembly; Hinges; USB-C port board; MagSafe 3 board; Audio/headphone board; Touch ID board; Lid angle sensor; Antennas; BMU flex cable; System board,palmrest,assembly,separate,separate,https://support.apple.com/en-us/102712,high,Apple Self Service Repair manual. Battery is sold by Apple only with the top case and keyboard; iFixit sells it alone. Two fans are their own parts; the heatsink is part of the logic board. MagSafe 3 and USB-C ports are on their own boards. Display hinge covers are the only hinge parts.,"Bottom cover: 923-08545, 923-08546 | Battery: A2519 | Fan: 923-06778, 923-06759 | Speakers: 923-10066 | Touchpad: 661-32206, 661-32208 | Palmrest/top cover: 661-32210, 661-32211 | Display assembly: 661-32207, 661-32209 | USB-C port board: 923-06760 | MagSafe 3 board: 923-06870, 923-06871 | Audio/headphone board: 923-06757 | Touch ID board: 661-30422 | Lid angle sensor: 661-23649 | Antennas: 923-08547 | BMU flex cable: 923-06765 | System board: 661-27685, 661-27705, 661-27715, 661-27730",high,https://support.apple.com/en-us/102713,"Apple exploded view. Colour pairs are space gray then silver. Top case includes battery and keyboard (US English numbers); the battery is not sold alone, so the battery field is the Apple model number. Fans: right, left. Antennas is the vent/antenna module. System board: 4 of many M2 Pro/Max variants (10c/16g, 12c/19g, 12c/30g, 12c/38g, lowest RAM/SSD)."
